"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","padlinkerremoved_seqs","fractionOfRawDataInFinal_seqs"
"245","PD_EA07_So_R1.fastq.gz",176141,170413,170413,170413,170413,0.967480597930067
"246","PD_EA07_So_R2.fastq.gz",176141,170413,170413,170413,170413,0.967480597930067
"247","PD_EA08_So_R1.fastq.gz",85179,83146,83146,83145,83145,0.976120874863523
"248","PD_EA08_So_R2.fastq.gz",85179,83146,83146,83145,83145,0.976120874863523
"249","PD_EA09_So_R1.fastq.gz",72094,71090,71090,71090,71090,0.986073737065498
"250","PD_EA09_So_R2.fastq.gz",72094,71090,71090,71090,71090,0.986073737065498
"251","PD_EA10_So_R1.fastq.gz",126798,122041,122041,122041,122041,0.962483635388571
"252","PD_EA10_So_R2.fastq.gz",126798,122041,122041,122041,122041,0.962483635388571
"253","Sem_EA_Le_01_R1.fastq.gz",66126,63870,63870,63870,63870,0.965883313673895
"254","Sem_EA_Le_01_R2.fastq.gz",66126,63870,63870,63870,63870,0.965883313673895
"255","Sem_EA_Le_02_R1.fastq.gz",49960,48881,48881,48881,48881,0.978402722177742
"256","Sem_EA_Le_02_R2.fastq.gz",49960,48881,48881,48881,48881,0.978402722177742
"257","Sem_EA_Le_03_R1.fastq.gz",76034,73881,73881,73881,73881,0.971683720440855
"258","Sem_EA_Le_03_R2.fastq.gz",76034,73881,73881,73881,73881,0.971683720440855
"259","Sem_EA_Le_04_R1.fastq.gz",45440,43712,43712,43709,43709,0.961905809859155
"260","Sem_EA_Le_04_R2.fastq.gz",45440,43712,43712,43709,43709,0.961905809859155
"261","Sem_EA_Le_05_R1.fastq.gz",59347,56696,56696,56696,56696,0.955330513758067
"262","Sem_EA_Le_05_R2.fastq.gz",59347,56696,56696,56696,56696,0.955330513758067
"263","Sem_EA_Le_06_R1.fastq.gz",54187,52649,52649,52649,52649,0.971616808459594
"264","Sem_EA_Le_06_R2.fastq.gz",54187,52649,52649,52649,52649,0.971616808459594
"265","Sem_EA_Le_07_R1.fastq.gz",54529,52881,52881,52881,52881,0.969777549560784
"266","Sem_EA_Le_07_R2.fastq.gz",54529,52881,52881,52881,52881,0.969777549560784
"267","Sem_EA_Le_08_R1.fastq.gz",61755,59132,59132,59132,59132,0.957525706420533
"268","Sem_EA_Le_08_R2.fastq.gz",61755,59132,59132,59132,59132,0.957525706420533
"269","Sem_EA_Le_09_R1.fastq.gz",58191,56008,56008,56008,56008,0.962485607740029
"270","Sem_EA_Le_09_R2.fastq.gz",58191,56008,56008,56008,56008,0.962485607740029
"271","Sem_EA_Le_10_R1.fastq.gz",52549,51466,51466,51466,51466,0.97939066395174
"272","Sem_EA_Le_10_R2.fastq.gz",52549,51466,51466,51466,51466,0.97939066395174
"273","Sem_EA_Rh_01_R1.fastq.gz",67612,66139,66139,66139,66139,0.978213926521919
"274","Sem_EA_Rh_01_R2.fastq.gz",67612,66139,66139,66139,66139,0.978213926521919
"275","Sem_EA_Rh_02_R1.fastq.gz",53639,51496,51496,51496,51496,0.960047726467682
"276","Sem_EA_Rh_02_R2.fastq.gz",53639,51496,51496,51496,51496,0.960047726467682
"277","Sem_EA_Rh_03_R1.fastq.gz",46852,45945,45945,45945,45945,0.980641167933066
"278","Sem_EA_Rh_03_R2.fastq.gz",46852,45945,45945,45945,45945,0.980641167933066
"279","Sem_EA_Rh_04_R1.fastq.gz",52291,50348,50348,50348,50348,0.962842554168021
"280","Sem_EA_Rh_04_R2.fastq.gz",52291,50348,50348,50348,50348,0.962842554168021
"281","Sem_EA_Rh_05_R1.fastq.gz",53772,51704,51704,51704,51704,0.961541322621439
"282","Sem_EA_Rh_05_R2.fastq.gz",53772,51704,51704,51704,51704,0.961541322621439
"283","Sem_EA_Rh_06_R1.fastq.gz",64743,62285,62285,62285,62285,0.962034505660844
"284","Sem_EA_Rh_06_R2.fastq.gz",64743,62285,62285,62285,62285,0.962034505660844
"285","Sem_EA_Rh_07_R1.fastq.gz",66762,64338,64338,64338,64338,0.963691920553608
"286","Sem_EA_Rh_07_R2.fastq.gz",66762,64338,64338,64338,64338,0.963691920553608
